Category,Puzzle,Letters
Place,BELGIUM,D P M O
Thing,FIRM GRASP,D C M O
Place,BROOK,C M P A
Thing,HANDBOOK,C D M O
Thing,PIANO,M C H A
Thing,PAGER,B P D O 
Thing,CANARY,
Thing,FONDUE,C D M A
Thing,OWL,P D M A
Thing,ABILITY,D P F A
Thing,FORMAT,M H C O
Place,MICHIGAN,D M H I
Thing,HUNCH,D C P U
Place,TOKYO,
Thing,ADVICE,D M P A
Thing,OPINION,B D P O
Thing,BANJO,D C G A
Place,SICILY,C M B O
Thing,UNIFORM,D Y C O
Thing,TOW TRUCK,H P B O
Thing,AWARD,H P C O
Place,COUNTY,C G M O
Thing,WAFER,M C G A
Phrase,BUYING TIME,C M D A
Thing,JARGON,D C K O
Phrase,CUT IN HALF,C M D A
Event,CHILDBIRTH,C D P O
Thing,CREAM PUFF,C D P A 
Thing,HIPBONE,D C G O
Thing,FILLY,C D Y A
Thing,OLIVE,C P M O
Phrase,WIDE-EYED,V B H A
Phrase,WALKING ON AIR,G M C O
People,FLIGHT CREW,D A M B
Thing,FORK,C F K O
Thing,GIRAFFE,
Thing,GUITAR,
Place,TAHITI,
Phrase,HANG TOUGH,
Phrase,I'M BOOKED UP,
Thing,BAG OF ICE,
Thing,WINDSHIELD,
Thing,HAIRDO,P D C O
Thing,MORTGAGE,
Place,VIRGINIA,
Thing,BUCKET,
Phrase,MAKE A CHOICE,
Thing,BABOON,
Thing,HOUR,
Phrase,FLIP A COIN,
Things,TWIGS,
Place,DUNGEON,
Thing,DAB OF JELLY,
Thing,BATHTUB,
Thing,EGG YOLK,
Thing,PILLOWCASE,
Thing,HAIRCUT,
Thing,PADLOCK,F D M A
Person,SAXOPHONIST,D F H A
Thing,FONDUE,P H M A
Thing,JEAN JACKET,
Place,FISHPOND,M P H A
Living Things,PUPPIES,
Fictional Character,THE JOKER,H J K O
On the Map,TRIPOLI,? ? P I
Person,A DUKE,P H M I
Phrase,HIP HIP HOORAY,C M P O
Event,A BAKE-OFF,C D M I
Phrase,I FIGURED,C M G A
Phrase,I GOT A JOB,G D M A
Proper Name,KOBE BRYANT,B D M O
Around the House,A FRUIT JAR,D C M A
Phrase,YOU'RE WITTY,B Y P O
Phrase,HAVE FAITH,F C D A
On the Map,KEY BISCAYNE,C D H A
Proper Name,JON VOIGHT,D C M A
Things,SOAP BUBBLES,M P D I
People,HOCKEY FANS,C D M A
Proper Name,ELIJAH WOOD,
Thing,A GOLF BAG,
Phrase,JUST FOR KICKS,J F K I
Thing,SHAVED ICE,P C M I
Thing,SHAVING KIT,D G H O
Person,SAFARI GUIDE,? ? ? A
Phrase,PROFITS ARE UP,
Living Things,HAWKS,F G K O
Event,NODDING OFF,
Person,A SPOKESMAN,M B A C
Things,CHIVES,C D M A
Things,PAPAYAS,C D M A
Rhyme Time,FINE WINE,? F W I
Thing,PUNCH BOWL,G D C A
People,COWBOYS,
Living Things,HUSKIES,K B P O
On the Map,BOLIVIA,B D P A
Place,SKI JUMP,
Phrase,ROUGHING IT,M D C O
Thing,A BRIDGE,C D M A
Place,THRIFT SHOP,C D H A
Phrase,WAKE UP,M P D I
Thing,CORKBOARD,
Things,CHICKEN FAJITAS,C M H O
Things,AUDIO & VIDEO,
Things,THIGHS,C D M A
Event,SCRUBBING,P G B I
Thing,A BIKINI,? ? K I
Thing,BAG OF FLOUR,K M F O
Thing,A GAG GIFT,
Phrase,A FAIR SHAKE,
Thing,BEAR HUG,
Around the House,WORKBENCH,D M C O
Place,CAMPGROUND,D M C A
On the Map,PARAGUAY,M C D O
Person,SHIPMATE,C G P A
Event,FROWNING,
Thing,CHEWING GUM,C G M A?
Living Thing,GIRAFFE,
